Energí­a Media/ MeV;Temperatura/ ºC;Presión/ mBar;Mu/nC;S.t.r.;L.t.r.;Dí­a;Mes;Año;Referencia de Dosimetrí­a
6;22.0;1027;8.041;0.038;1.045;4;Feb;2019;01-feb-19
8;22.0;1027;8.190;0.364;1.876;4;Feb;2019;01-feb-19
10;22.0;1027;8.657;0.142;0.074;4;Feb;2019;01-feb-19
12;22.0;1027;9.308;0.043;-0.617;4;Feb;2019;01-feb-19
6;21.0;1023;8.105;0.095;0.258;12;Jun;2020;01-feb-19
8;21.0;1023;8.276;0.406;0.846;12;Jun;2020;01-feb-19
10;21.0;1023;8.725;0.011;-0.705;12;Jun;2020;01-feb-19
12;21.0;1023;9.440;0.111;-2.046;12;Jun;2020;01-feb-19
6;21.5;1014;NaN;NaN;NaN;7;Jun;2019;01-feb-19
8;21.5;1014;8.153;NaN;2.326;7;Jun;2019;01-feb-19
10;21.5;1014;8.663;NaN;0.011;7;Jun;2019;01-feb-19
12;21.5;1014;9.306;NaN;-0.596;7;Jun;2019;01-feb-19
6;21.9;1020;8.150;0.173;-0.304;20;Sep;2019;01-feb-19
8;21.9;1020;8.224;0.019;1.466;20;Sep;2019;01-feb-19
10;21.9;1020;8.668;0.316;-0.047;20;Sep;2019;01-feb-19
12;21.9;1020;9.370;0.213;-1.288;20;Sep;2019;01-feb-19
6;20.9;1025;8.048;0.132;0.960;3;Apr;2020;01-feb-19
8;20.8;1025;8.185;0.478;1.933;3;Apr;2020;01-feb-19
10;20.8;1025;8.742;0.083;-0.906;3;Apr;2020;01-feb-19
12;20.8;1025;9.410;0.225;-1.714;3;Apr;2020;01-feb-19
6;21.1;1018;8.017;0.019;1.336;25;Nov;2019;01-feb-19
8;21.1;1019;8.111;0.083;2.826;25;Nov;2019;01-feb-19
10;21.1;1018;8.654;0.192;0.109;25;Nov;2019;01-feb-19
12;21.1;1018;9.298;0.044;-0.508;25;Nov;2019;01-feb-19
6;20.8;1033;8.106;0.301;0.246;25;Mar;2019;01-feb-19
8;20.8;1033;8.309;0.347;0.454;25;Mar;2019;01-feb-19
10;20.8;1033;8.709;0.074;-0.526;25;Mar;2019;01-feb-19
12;20.8;1033;9.485;0.028;-2.523;25;Mar;2019;01-feb-19
6;20.7;1020;7.975;0.187;1.859;2;Apr;2020;01-feb-19
8;20.7;1020;8.165;0.383;2.180;2;Apr;2020;01-feb-19
10;20.7;1020;8.657;0.041;0.073;2;Apr;2020;01-feb-19
12;20.7;1020;9.332;0.005;-0.877;2;Apr;2020;01-feb-19
6;22.0;1027;8.129;0.114;-0.047;29;Jun;2020;01-feb-19
8;22.0;1027;8.285;0.016;0.744;29;Jun;2020;01-feb-19
10;22.0;1027;8.752;0.275;-1.019;29;Jun;2020;01-feb-19
12;21.7;1027;9.457;0.000;-2.227;29;Jun;2020;01-feb-19
6;22.0;1023;8.001;0.150;1.535;25;Nov;2019;01-feb-19
8;22.0;1023;8.184;0.187;1.949;25;Nov;2019;01-feb-19
10;22.0;1023;8.623;0.073;0.465;25;Nov;2019;01-feb-19
12;22.0;1023;9.333;0.131;-0.880;25;Nov;2019;01-feb-19
6;19.0;1031;8.262;0.286;-1.674;5;Sep;2019;01-feb-19
8;19.0;1031;8.377;0.174;-0.361;5;Sep;2019;01-feb-19
10;19.0;1031;8.893;0.109;-2.644;5;Sep;2019;01-feb-19
12;19.0;1031;9.578;0.168;-3.536;5;Sep;2019;01-feb-19
6;20.4;1011;7.936;0.169;2.328;5;Mar;2020;01-feb-19
8;20.4;1011;8.123;0.379;2.676;5;Mar;2020;01-feb-19
10;20.4;1011;8.598;0.337;0.759;5;Mar;2020;01-feb-19
12;20.4;1011;9.238;0.000;0.147;5;Mar;2020;01-feb-19
6;21.6;1026;8.066;0.359;0.729;11;Apr;2019;01-feb-19
8;21.6;1026;8.209;0.173;1.652;11;Apr;2019;01-feb-19
10;21.6;1026;8.650;0.175;0.156;11;Apr;2019;01-feb-19
12;21.6;1026;9.394;0.044;-1.540;11;Apr;2019;01-feb-19
6;21.0;1006;7.917;0.019;2.570;14;Nov;2019;01-feb-19
8;21.0;1006;8.090;0.293;3.080;14;Nov;2019;01-feb-19
10;21.0;1006;8.558;0.296;1.224;14;Nov;2019;01-feb-19
12;21.0;1006;9.222;0.278;0.317;14;Nov;2019;01-feb-19
6;20.3;1014;8.074;0.095;0.633;14;May;2020;01-feb-19
8;20.3;1014;8.218;0.136;1.543;14;May;2020;01-feb-19
10;20.3;1014;8.675;0.296;-0.131;14;May;2020;01-feb-19
12;20.3;1014;9.402;0.044;-1.628;14;May;2020;01-feb-19
6;23.2;1015;7.981;0.190;1.786;30;Apr;2020;01-feb-19
8;23.2;1015;8.059;0.339;3.450;30;Apr;2020;01-feb-19
10;23.2;1015;8.581;0.235;0.952;30;Apr;2020;01-feb-19
12;23.2;1015;9.209;0.017;0.456;30;Apr;2020;01-feb-19
6;22.8;1036;8.146;0.190;-0.247;21;Mar;2019;01-feb-19
8;22.8;1036;8.313;0.197;0.404;21;Mar;2019;01-feb-19
10;22.8;1036;8.866;1.856;-2.338;21;Mar;2019;01-feb-19
12;22.8;1036;9.484;0.059;-2.516;21;Mar;2019;01-feb-19
6;22.8;1020;8.070;0.229;0.689;6;Aug;2019;01-feb-19
8;22.8;1020;8.134;0.274;2.554;6;Aug;2019;01-feb-19
10;22.0;1020;8.679;0.071;-0.172;6;Aug;2019;01-feb-19
12;22.0;1020;9.330;0.000;-0.850;6;Aug;2019;01-feb-19
6;22.3;1029;8.041;0.282;1.044;12;Mar;2019;01-feb-19
8;22.3;1029;8.219;0.264;1.528;12;Mar;2019;01-feb-19
